topic,idx,q,a,context,datatype,attitude,group
职业,27700,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,先问是不是好吧。 程序员农民工的实质是什么？,0,0,0,新生代农民工
职业,25088,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,现在好多啦！ 知足吧。,1,0,0,工人
职业,25459,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,拿枪让你被自愿，跟垄断你所需要的一切物资，拿饥饿让你被自愿有区别吗？,1,1,2,工人
职业,28477,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,好好学习就能找好工作了?,0,2,3,职业歧视
职业,24671,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,刚大学毕业就进了电子厂，环境还行，工资说高不高，说低吧也不低，够一个人过日子的，就是有的领导巨坏，特别特别坏，爱欺负人。,0,0,0,工人
职业,24824,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,用生产资料公有制取代生产资料私有制，用自由劳动取代雇佣劳动，用按劳分配取代按资本分配，用无产阶级民主取代资产阶级民主。,0,0,0,工人
职业,25249,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,我父亲在德国出差的时候，由于他们工程师团队国人不多，便和德国本土的老工人们一起工作生活。,0,0,0,工人
职业,27851,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,众所周知农民在中国不是职业(farmer)而是身份(peasant)。,0,1,2,新生代农民工/农民/程序员
职业,25513,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,有意思的问题，应该是刚学过一点这方面内容的学生。,0,0,0,工人
职业,28161,我成为程序员后感觉情商变低，怎么办？,拜托，程序员的情商不低，只是愿不愿意用而已。,1,0,0,程序员
职业,26426,为什么大家都不愿意学护理？,不是大家不愿意学护理，而是不愿意干护理！,0,1,3,护理职业
职业,27526,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,这就叫做：子承父业，薪尽火传！,0,0,0,新生代农民工
职业,27584,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,意味着我们的教育体系还是可以照顾到农村的而且还算是有效吧。,1,0,0,新生代农民工
职业,25700,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,《21世纪资本论》皮凯蒂在书中就是告诉你，劳动既不光荣，也不致富，300年来，真正致富的都是资本，这本书主要观点有。,0,2,3,工人
职业,25274,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,规章制度健全，工作程序严谨，资薪酬劳合理。,1,0,0,工人
职业,24845,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,工厂不要向自动化发展，要不加强对一线工人的关怀和待遇，很多工厂用人都存在“不把人当人看”的情况，别说90后。,0,1,3,工人
职业,28422,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,因为我们表达这些观点的真实目的是与其他的人打交道。,1,0,0,职业歧视
职业,25382,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,待遇还行，和其他工种工资也差不多，欧洲国家的贫富差距很小的，所以大家从事什么职业，税后收入基本差不多，挣得多扣税也多。,1,2,2,工人
职业,28614,人们说的职业平等，不能歧视职业之类的话，和那些家长教孩子要努力学习不要去扫大街的话矛盾吗？,职业不应该平等，学习本身就很累，不想努力学习还想享受平等的就业机会，这本身就不公平。,0,2,3,职业歧视
职业,25594,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,我举个例子：封建社会，农民种地主的地，收成以后上交一部分给地主交租子，这个算不算压榨？,0,2,3,工人
职业,25872,“农民工”，“新生代农民工”的称呼是否具有歧视性？,不需要考虑，事物自然有自然的规律。,1,0,0,工人农民
职业,26127,为什么「工人」和「农民」成了不体面的代名词？,首先我们工人，农民不是下等的，不体面的。,0,0,0,工人农民
职业,27156,为什么我国部分理科生会看不起文科生？,因为很多人文社科类的科学是解释类的学科，而不是实证类的学科。,0,0,0,文理科
职业,26867,护理专业的学生不想当护士怎么办？,我是护士转行干药品临床的，目前做临床协调员。,1,0,0,护理职业
职业,28657,相亲中为什么嫌弃护士这个职业？,护士这个称谓就代表了她们每天要辛苦的上班工作救人命，可不是让你用来嫌弃的，嫌弃不找就行了。,0,1,2,职业歧视
职业,26365,农民工已经挣得跟工人差不多了，为什么生活质量、生活状态和人生命运还是差很多？,不说别的，你一个人在外地能生活的比家里好？,0,0,0,工人农民
职业,25929,“农民工”，“新生代农民工”的称呼是否具有歧视性？,这种说法很多年以前就有了啊，格子间的文员，和织布机的女工，到底有什么区别？,1,1,2,工人农民
职业,27846,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,什么时候国家定义程序员是新生代农民工，简直是胡说八道！,0,2,2,新生代农民工/程序员
职业,27211,为什么我国部分理科生会看不起文科生？,中国理科生认为文科生没文化，瞧不起文科生主要原因在于中国的高等教育来自于洋务运动，目的是为了富国强兵、兴办实业。,0,2,2,文理科
职业,25636,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,何不食肉糜呀。 你若真有不可替代性，随便你跳槽，会有大公司舍不得高薪聘用你？,0,0,0,工人
职业,26192,为什么「工人」和「农民」成了不体面的代名词？,这个问题我有必要回答一下。,1,0,0,工人农民
职业,28502,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,职业平等是宣扬的是：个人在相同生产力之下产生的价值是平等的。,1,0,0,职业歧视
职业,26330,人大代表建议倡导媒体不使用「农民工」等语言，「农民工」这一称谓是否存在歧视性？,蠢哭了的倡议，给我一种我上我也行的感觉。,0,0,0,工人农民
职业,27395,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,没户口没房，生活成本高，资本驱动下的互联网行业在过去几年致富了不少IT从业人员，光环+财富标榜各路吹捧，既是风向标。,0,1,3,新生代农民工
职业,26859,护理专业的学生不想当护士怎么办？,趁早转吧，公务员是个不错的选择。,0,0,0,护理职业
职业,27330,为什么我国部分理科生会看不起文科生？,文科和理科的思维方式就不一样，文理科双方对理科和文科都没有相同的了解背景，彼此讲的东西彼此都不能有深切体会。,1,2,2,文理科
职业,28481,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,我们倡导职业平等、反对社会达尔文也不是为了提倡人人放任自流混吃等死啊。,0,2,2,职业歧视
职业,26634,作为男生学护理真的是会有一个很好的发展吗？,护理的男生相对女生较少，而且男生的力气大，以后工作啥的比较累，男生相对之下比较吃香，男生有很多都是在重症监护室里工作。,0,1,2,护理职业
职业,28467,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,双标嘛。 自我以上，人人平等。,1,2,2,职业歧视
职业,27819,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,国家在哪定义的？ 我咋找不到！,0,0,0,新生代农民工
职业,28113,我成为程序员后感觉情商变低，怎么办？,情商（Emotional，Quotient）通常是指情绪商数，简称EQ，主要是指人在情绪、意志、耐受挫折等方面的品质。,0,0,0,程序员
职业,24652,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,不当没关系，制造业会搬去东南亚的，事实上这个潮流已经开始了。,0,0,0,工人
职业,26747,护理专业的学生不想当护士怎么办？,护士这个职业很累的，我也是护士。,0,1,3,护理职业
职业,26494,为什么大家都不愿意学护理？,1. 真的就是从小不喜欢，奈何高考成绩差，只能学校挑你，最后还服从专业调剂学了护理，本来想着既来之则安之。,0,1,3,护理职业
职业,26457,为什么大家都不愿意学护理？,见习时：患者：欸，你们进这三甲得大专吧？,0,1,3,护理职业
职业,26564,为什么大家都不愿意学护理？,值夜班吧，还有就是去医院见习过之后深深地感受到了，理想很现实的差距，去个环境好点的科室还好，不然。,0,2,2,护理职业
职业,28019,我成为程序员后感觉情商变低，怎么办？,突然想写一个关于程序猿男朋友的话题，作为程序猿的女朋友，我从不认同程序猿情商低，到不得不认同，女友生活习惯不记得。,0,1,2,程序员
职业,25379,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,在一家公司呆很长时间不走，无非就是跳槽很难找工作，而且不能提高生活质量。,1,2,3,工人
职业,28283,程序员工作五年后一般怎样了?,我是生化环材行业转过来的，虽然我还没到五年，但是我觉得真香，你们根本不懂无数比你们码农好的多的学校的学生。,0,0,0,程序员
职业,26933,护理专业的学生不想当护士怎么办？,可以了解下临床试验方面都岗位，近几年国内临床还是比较热的，护士有临床经验，转岗比较容易。,0,0,0,护理职业
职业,27242,为什么我国部分理科生会看不起文科生？,大家都没有看到问题的本质。,0,0,0,文理科
职业,28021,我成为程序员后感觉情商变低，怎么办？,首先，什么叫做程序员？,0,0,0,程序员
职业,26869,护理专业的学生不想当护士怎么办？,考了个研学康复，发现护理还挺香。,1,2,1,护理职业
职业,25102,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,你工人爷爷来啦！ 组长，我这月的绩效分您看。,0,0,0,工人
职业,25407,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,经常在抖音里面刷到，某工厂引进自动化设备可以代替多少人之类的短视频，这让人很无语呀，引进自动化设备不是提高工作效率。,1,0,0,工人
职业,27582,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,我觉得叫农民工挺好的。,0,1,2,新生代农民工
职业,27646,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,这批人是指的送外卖，开滴滴这样的人员吧。,1,2,3,新生代农民工
职业,24920,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,以前都叫程序员，现在都叫程序猿；以前都叫单身汉，现在都叫单身狗——毫无疑问，全中国的“房奴”总数。,1,1,3,工人
职业,25285,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,我记得说德国GDP最高的城市和最低的城市比较，看起来差不多，甚至DGP低的那个看起来比高的那个表面上更好一点。,0,0,0,工人
职业,27129,为什么我国部分理科生会看不起文科生？,先问是不是。 为了这个问题，我采访了八位理科生，就读院校涵盖一本到top2。,0,0,0,文理科
职业,26356,人大代表建议倡导媒体不使用「农民工」等语言，「农民工」这一称谓是否存在歧视性？,工人和农民，统称劳动者。,0,1,2,工人农民
职业,26101,为什么「工人」和「农民」成了不体面的代名词？,不这样你还想哪样？ 难道你还想让工农联盟行驶宪法里国家主人的权利吗？,0,2,3,工人农民
职业,25747,“农民工”，“新生代农民工”的称呼是否具有歧视性？,遍身罗绮者，不是养蚕人。,1,0,0,工人农民
职业,25480,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,换个角度看问题，以下内容摘抄自《第三次浪潮》：当第二次浪潮开始横扫第一次浪潮社会时，家庭感受到了变化的压力。,0,0,0,工人
职业,28466,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,职业平等是期望，职业不平等是现实。,0,2,2,职业歧视
职业,26833,护理专业的学生不想当护士怎么办？,建议：1、去各整形医院、产后恢复中心，工资高还不累。,0,0,0,护理职业
职业,25744,“农民工”，“新生代农民工”的称呼是否具有歧视性？,不是，别的不说，这用的词意思不对吧？,0,0,0,工人农民
职业,25212,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,首先你要看一下德国工厂的工人都是从什么时候开始进工厂。,0,1,2,工人
职业,28287,程序员工作五年后一般怎样了?,15年七月硕士毕业后入职，从首年10到今年税前80+，感受就是：很忙，没有自己的时间，年过三十依然单身，没时间谈恋爱。,0,0,0,程序员
职业,26630,作为男生学护理真的是会有一个很好的发展吗？,家里穷就学，工作好找点工资也还可以，就算找对象，如果因为你是护士而看不上你的，那肯定会因为你家穷也看不上你的。,0,2,3,护理职业
职业,27829,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,先仔细看看那篇文章，并没有把程序员定义为新生代农民工，而是新生代农民工里面有一部分人做程序员。,0,0,0,新生代农民工/程序员
职业,26214,为什么「工人」和「农民」成了不体面的代名词？,累且赚钱少，被好逸恶劳嫌弃，被好吃懒做不屑，被眼高手低鄙视，被一无是处五十笑百步了。,1,1,3,工人农民
职业,26704,护理专业的学生不想当护士怎么办？,考事业单位当卫生老师我觉得还挺靠谱的。,1,2,3,护理职业
职业,26479,为什么大家都不愿意学护理？,为什么不愿意？ 你去临床呆一阵子就知道了，我现在实习四个月了，我周围几乎没有同学想当护士了，一开始他们也抱着期待。,0,0,0,护理职业
职业,28207,男朋友是程序员，情商低该怎么办呢？真没黑程序员的意思…… ？,作为程序员，整天与代码打交道，与人沟通交流的时间严重不足。,0,1,2,程序员
职业,27466,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,曾经，我们以为的农民工，可能主要是建筑工人，餐厅服务员，清洁工，保安：如今，他可能是空姐，可能是985毕业的码农。,0,1,2,新生代农民工
职业,25366,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,魔都汉斯全资子公司工程师一枚。,0,0,0,工人
职业,27774,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,先问是不是，再问为什么，大多数程序员的中文阅读理解能力不至于这么差吧。,0,1,3,新生代农民工/程序员
职业,26856,护理专业的学生不想当护士怎么办？,我是护理系助产专业毕业的，不想当护士的原因不过也就是不想熬夜考试压力大。,0,1,2,护理职业
职业,27334,为什么我国部分理科生会看不起文科生？,不稀奇，我还瞧不起理科生呢。,0,2,3,文理科
职业,26460,为什么大家都不愿意学护理？,我心理素质不太好，实习的时候就被恶劣的医患关系给吓到了！,0,0,0,护理职业
职业,27495,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,人家农民工是真的有地，属于有产阶级。,0,1,2,新生代农民工/农民工
职业,25388,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,分清楚，人家的技工叫人。,1,2,3,工人
职业,27727,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,这只是一种美丽的扯，无聊人的意淫罢了，别当真。,0,0,0,新生代农民工
职业,28376,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,宣扬是宣扬，至于信不信又是一码事了。,0,0,0,职业歧视
职业,25632,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,自愿的前提是人有的选择，比如可以在A和B中进行选择，而且前提是A和B完全不同。,1,1,2,工人
职业,25933,“农民工”，“新生代农民工”的称呼是否具有歧视性？,没有歧视，我们只是希望有一天能取消户口限制，实现真正的人人平等。,0,0,0,工人农民
职业,27424,2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？,这个其实不是身份的问题。,0,0,0,新生代农民工
职业,28171,是不是程序员或者从事计算机行业的人社交能力大都较低？,你是程序员或者从事计算机行业的人？,0,0,0,程序员
职业,26039,为什么「工人」和「农民」成了不体面的代名词？,因为没有了武工队和民兵武装。,0,0,0,工人农民
职业,26392,211，985的护理毕业生都在干什么?干的活是不是和中专生没多区别？,做的工作刚到医院都是一样，研究生比专科生强的还有别的呀，所以提携到护理部那是很快的。,0,1,2,护理职业
职业,28172,是不是程序员或者从事计算机行业的人社交能力大都较低？,常年跟电脑打交道的我感觉已经不会和人说话了，或者说不会通过嘴巴与人交流，譬如见面交谈和电话交谈。,0,0,0,程序员
职业,26503,为什么大家都不愿意学护理？,某内科病房:喂！ 服务员，把尿给我倒喽。,1,2,3,护理职业
职业,27306,为什么我国部分理科生会看不起文科生？,其实说实话，现在的文科并不是简单的背一背就能拿到很高的分数，我作为一个高中数学老师深有体会，文科生的竞争尤为激烈。,0,0,0,文理科
职业,25442,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,明明是犹太人自愿把毒气吸到肺里的。,0,0,0,工人
职业,27679,我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？,这个新闻很早就看过，今天翻到了。,0,0,0,新生代农民工
职业,26158,为什么「工人」和「农民」成了不体面的代名词？,很多人从历史、文化、收入等等等方面分析。,1,0,0,工人农民
职业,27972,我成为程序员后感觉情商变低，怎么办？,情商不过是高智商的人发明来安慰低智商的人的,0,0,0,程序员
职业,26352,人大代表建议倡导媒体不使用「农民工」等语言，「农民工」这一称谓是否存在歧视性？,说句实话，人大代表有些意见给我的感觉就是他们在冲KPI，为了热度胡编乱造一些奇怪的话语。,1,0,0,工人农民
职业,25159,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,曾经在制造企业工作过。,0,0,0,工人
职业,25470,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,你没有田地、店铺、房产，不打工就饿死了，那么你进工厂，能算作是自愿的吗？,1,2,2,工人
职业,26026,为什么「工人」和「农民」成了不体面的代名词？,掏不起钱的时候就要给你地位和荣耀来安抚你。,1,1,2,工人农民
职业,26911,护理专业的学生不想当护士怎么办？,我就是不想干护士每天被折磨的睡不着。,0,1,3,护理职业
职业,28492,为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？,好工作≠赚更多钱。 好工作＝为社会做更大贡献。,0,0,0,职业歧视
职业,27340,为什么我国部分理科生会看不起文科生？,实话就是，在超一半的非重点高中里，超一半的文科生是因为理科成绩太差而选择文科的！,0,2,3,文理科
职业,25326,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,反对首赞，知乎日报收录的那个说的并不正确。,0,0,0,工人
职业,26216,为什么「工人」和「农民」成了不体面的代名词？,因为工人，和农民手里面再也没有qiang杆子了。,1,1,2,工人农民
职业,27178,为什么我国部分理科生会看不起文科生？,自身素质问题。 本来所谓“看不起”这个行为就是不正确的。,1,2,2,文理科
职业,24790,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,看到前面有人说什么工厂裁了大把员工，利润反而更好。,1,1,3,工人
职业,26229,为什么「工人」和「农民」成了不体面的代名词？,越穷越光荣，才多少年，这口号你们就唾弃了。,1,1,3,工人农民
职业,25517,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,苏联跟你说：工厂可以不是资本家开的。,0,0,0,工人
职业,25490,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,扯，明明是你自愿去工厂打工，我自愿去工厂当老板好不好。,1,1,3,工人
职业,28200,有的程序员干久了，为什么情商越来越低？,话题有毒，别这样。 虽然很苦，但真的不要只学技术。,0,0,0,程序员
职业,24601,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,看着四散奔逃的兔子，农场主痛心疾首：90后的兔子都不愿意待在兔场，兔肉加工还怎么发展？,1,1,3,工人
职业,25456,明明是工人自愿去工厂为什么说是资本家压榨工人呢？,我的天！ 我不知道你多大，但是我有三个推测。,0,0,0,工人
职业,28232,程序员工作五年后一般怎样了?,植发去了，回老家相亲去了，辞职炒股去了：薯条老师的官方blog-提供高质量python自学教程。,0,0,0,程序员
职业,25344,德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？,外国的月亮真的就那么圆？,0,0,0,工人
职业,28038,我成为程序员后感觉情商变低，怎么办？,(°_°)… 这个问题。,0,0,0,程序员
职业,27315,为什么我国部分理科生会看不起文科生？,可能因为原来文科太牛逼了，最早理科从古至今被压着打，现在想翻身农奴把歌唱？,1,2,3,文理科
职业,24936,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,农民工人：个人定义本来应该从事农业的人员，（包括农村大学生）。,0,1,2,工人
职业,24842,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,只想找口饭吃的4050人员、35岁刚被踢出门的焦虑中年油腻——人多得是就不要。,1,0,0,工人
职业,25778,“农民工”，“新生代农民工”的称呼是否具有歧视性？,我倒是觉得，这是官方在重新强调阶级叙事了。,0,0,0,工人农民
职业,28321,中国社会的歧视现象究竟有多么严重？,只要是一个国家，不同性别，不同年龄，不同民族，不同肤色，不同学历等等等等，而且职业肯定是分工各不相同。,0,0,0,职业歧视
职业,27945,我成为程序员后感觉情商变低，怎么办？,职业肯定是对人的思维，人的说话方式有影响，这个是肯定的。,1,0,0,程序员
职业,26906,护理专业的学生不想当护士怎么办？,医药行业猎头不请自来。,0,0,0,护理职业
职业,24905,以前厂子都叫工人，现在有些人会把工人叫做厂狗。是什么导致了工人地位直线下降？,时代变化了。 虽然狗的地位被某些人硬拨成伴侣地位，但狗的工具性并没有变，狗依然是豢养它的主人的一个物件，敢呲牙咧嘴就废掉。,1,1,3,工人
职业,26735,护理专业的学生不想当护士怎么办？,本科还可以，大专真的没地方呆了。,0,0,0,护理职业
职业,24705,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,九零后不愿意进厂，不代表九零后不进厂。,0,2,2,工人
职业,26489,为什么大家都不愿意学护理？,那这个大家肯定不包括我。,0,0,0,护理职业
职业,24847,九零后都不愿意进工厂当工人了，工厂以后该如何发展呢？,不要用你的视野去看问题，好吧！,0,0,0,工人
职业,26737,护理专业的学生不想当护士怎么办？,首先，学什么专业跟做什么工作，没有必然关系。,0,0,0,护理职业
