topic,idx,q,a,context,datatype,attitude,group
性别,10975,现在的性别对立什么时候可以结束？,有一方打赢了就会结束，无论男方赢还是女方赢。,0,2,2,性别对立
性别,13518,你在什么时候感觉到了社会对男性的歧视？,38节女性有半天假，而男性没有。,0,2,2,歧视男性
性别,10878,如何看待微博上愈演愈烈的性别对立矛盾？,男女对立的有没有想过。,0,0,0,性别对立
性别,10685,如何看待微博上愈演愈烈的性别对立矛盾？,说实话，我作为一个男生，我觉得我从没干过什么伤天害理的事情，我觉得我一直都是富有同情心和善良的，我看到这些言论的时候。,1,0,0,性别对立
性别,14408,如何判断男生是不是gay?,只要混ACG，并且有一定的创作属性，多多少少都会有点双。,1,1,2,男同性恋
性别,11559,中国的性别歧视现象严重吗？,酒吧女生免票，啤酒畅饮。,1,2,2,性别歧视
性别,12613,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,他比我小七岁。 他有个女朋友。,0,0,0,性少数群体
性别,11856,国内顶尖高校的女毕业生，在就业过程中受到过性别歧视吗？,对于需要去现场去工地经常出差的那些工作，你们愿意要男生可以理解，但是一个纯文字性的工作，也特么要男生。,0,2,3,性别歧视
性别,6344,小县城的老百姓是怎么看待LGBT群体的？,《我采访了18个Gay丨他们在小城出柜，赌上了自己的人生》原创，陈十四，______________________。,0,1,2,LGBT
性别,6334,小县城的老百姓是怎么看待LGBT群体的？,虽然有点偏题，但是想讲一下墨西哥的一个“小县城”人们对性少数的看法，因为在那里的性别系统多出了一个选项：muxe。,0,0,0,LGBT
性别,6175,中国学校存在对 LGBT 学生的霸凌吗？,从未遇到过，大家都挺忙的。,1,1,2,LGBT
性别,10371,婚姻给了你什么样的勇气去当家庭主妇？,如果对方是一个让你可以不用时刻盯着他在干什么的人，随时都能找到他、可以随时遇到伤心的事可以马上打电话给他的人。,1,2,3,家庭主妇
性别,7658,中国同性恋者的出路在哪里？,我算是比较幸运的。 女生，已经和父母出柜，父母毫不犹豫地理解并且接受，告诉我无论我怎样选择，我的快乐才是最重要的。,1,1,2,同性恋
性别,7120,为什么被称“贤惠”会很气愤？,贤惠对标老实？ 我看傻了真的，真当贤惠二字是做饭洗衣那么简单？,0,2,3,反感贤惠
性别,12084,作为一名性少数者，你有想哭的时候吗？,我真的哭出来了，很丢脸。,0,0,0,性少数群体
性别,8533,如何看待女同性恋中的T?,分TP，是麻烦的事情。,1,1,3,女同性恋
性别,11833,为什么性别歧视能够一直存在?,智力是不是和男女一样是天生。,1,0,0,性别歧视
性别,11449,大学女生成绩普遍比男生好吗，为什么？,你要看是什么专业了，有的专业，女生即使成绩再好，也只能是个例，不会普遍。,0,2,3,性别成绩
性别,12408,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,不匿，写写自己截止到目前的经历吧。,0,0,0,性少数群体
性别,11135,现在的性别对立什么时候可以结束？,不可能结束。 从母系社会到今天，你看什么时候平等过了。,0,2,3,性别对立
性别,9626,本人女，想转行去学UI设计，请问就业前景怎么样？,你们培训班这样推广良心不会痛么？,0,0,0,女性职业
性别,13990,既然女权是平权，为什么她们从不正视男性受到的压迫？,英女权主义者为穆斯林正名：伊斯兰代表真正的平等。,0,0,0,歧视男性
性别,9278,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,很多外行来看很难理解大数据的处理技术以及运作过程。,1,0,0,女性职业
性别,10896,如何看待微博上愈演愈烈的性别对立矛盾？,性别对立对谁有利？ 爱骂街的人有利。,0,2,3,性别对立
性别,11153,现在的性别对立什么时候可以结束？,以前看过一段我国台湾地区的街头采访，话题是问年轻男女先买房还是先买车，结果大多数男性都是选择先买车。,1,2,2,性别对立
性别,12298,作为一名性少数者，你有想哭的时候吗？,在学校，深柜。 听着朋友八卦着楼上出柜的妹子，听她们说着同性恋多恶心云云，多怕她们看上自己云云。,0,2,3,性少数群体
性别,12382,如何看待《中国性少数群体生存状况》调查报告的发布？,很感激这些还在为lgbt做公益的人，有声音表达总是好的。,0,1,2,性少数群体
性别,11128,现在的性别对立什么时候可以结束？,你看见激动的多数要么进了社会要好处的，要么是连高中都没上就在那凑热闹的。,1,2,3,性别对立
性别,12789,为什么现代中国男性受歧视的现象总被忽视？,因为比男性弱势的群体都没解决问题。,1,2,2,歧视男性
性别,14229,如何判断男生是不是gay?,在当今社会，虽然大家不歧视gay，但是很多时候看到一些打扮的比较精致的男人的时候。,0,0,0,男同性恋
性别,10648,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,我想说一个正能量的故事。,0,0,0,家庭主妇
性别,8078,有同性恋可以说说自己的故事吗？,我想分享我的故事。 情节啥的就不一一介绍了，我想谈谈我和他在一起的感受。,0,0,0,同性恋
性别,8998,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,会，资本嘛。 这个事情说到底在我国资产化的过程中很多本应属于zf的义务和权力被资本化了。,1,0,0,女性职业
性别,12236,作为一名性少数者，你有想哭的时候吗？,她名字中间有个“花”字，可见她父母很希望她能出落成一个如花似玉的姑娘，事实上，她长得也不难看，有几个角度很像李若彤。,0,0,0,性少数群体
性别,10269,如何看待高学历女性成为全职家庭主妇？,一些女性总觉得平权就是女性能随意的选择工作或居家，还鼓吹高学历女性一起，但当前社会明显没平权到这个水平啊。,1,1,2,家庭主妇
性别,14302,如何判断男生是不是gay?,本人女，偶然发现ex小红书，上边关注的账号基本是服装搭配包包护肤香水健身gay号，ex喜欢打扮，长相属于清秀帅气型的。,0,0,0,男同性恋
性别,13478,作为男性，你在什么时候感受到过性别歧视？,女士优先！ 深深的性别歧视！,0,2,3,歧视男性
性别,8566,有什么辨别les的方法吗？,我是很man的女孩子，短发，男孩子打扮，我这样纯粹为了自己舒服，我跟别人解释我不是爷t别人听了吗？,0,0,0,女同性恋
性别,10089,如何看待高学历女性成为全职家庭主妇？,我相信，大部分高学历女性，都不愿意这样吧，谁喜欢年纪轻轻的在家呢？,0,1,3,家庭主妇
性别,9886,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,如果有人，包括题主所说的phd，有这种想法的话，只能说明他们有可能没有很好的认识自己。,1,2,2,家庭主妇
性别,6594,如何判断一个妹子是不是女同/双性恋？,千人千面。 不能凭第一眼简单粗暴的直接判断。,1,1,2,双性恋
性别,9968,另一半强烈要求你做家庭主妇怎么办？,让他做，自己上班养家。,0,1,2,家庭主妇
性别,7276,为什么被称“贤惠”会很气愤？,因为你想别人夸你漂亮，但是人家真的不想昧良心（滑稽保命，胡言乱语）。,0,2,3,反感贤惠
性别,10442,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,今天是卧床休息的第12天。,0,0,0,家庭主妇
性别,14329,如何判断男生是不是gay?,这是一个属于彩虹男孩们的交友群。,1,1,3,男同性恋
性别,8615,有什么辨别les的方法吗？,没有，哈哈哈哈，看不出来。,0,0,0,女同性恋
性别,11934,国内顶尖高校的女毕业生，在就业过程中受到过性别歧视吗？,中信建投宁要大连理工本科男，不要清北金融本硕女。,0,2,2,性别歧视
性别,6618,如何判断一个妹子是不是女同/双性恋？,1. 问她是喜欢成熟稳重的姐姐还是活泼可爱的妹妹，她要是说姐姐，可以进一步了解。,0,0,0,双性恋
性别,12435,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,我想变得优秀起来不是因为自己是同性恋，就算是直男也会努力充实自己，变得优秀起来。,1,1,1,性少数群体
性别,14052,为什么男性同性恋更易感染艾滋病？,科室里经常会有男性过来咨询。,0,0,0,男同性恋
性别,10063,如何看待高学历女性成为全职家庭主妇？,我很勉强够得上高学历这个标签，从严格意义上说，也不算是全职家庭主妇。,1,0,0,家庭主妇
性别,11359,大学女生成绩普遍比男生好吗，为什么？,普不普遍不知道，但是我上大学时，成绩最差的好像确实就是几个男的，有我在内。,1,2,2,性别成绩
性别,13592,你在什么时候感觉到了社会对男性的歧视？,作为郭腩，你只能赢不能输，赢者通吃，输了没有人理会。,1,2,3,歧视男性
性别,8996,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,肯定会。 国家出于宏观层面的考量和规划出了这个政策，但是作为一个中年女性，现在的职业规划师，曾经的企业中层管理者。,1,1,2,女性职业
性别,9864,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,如果大家都以做家庭主妇为理想，数学将滑向非主流学科…,1,1,3,家庭主妇
性别,6309,始终难以接受LGBT群体，甚至厌恶。深知这样不对，自己也是受过高等教育,厌恶LGBT就自然离开这些群体，客观讲是为了保持自己的心情愉悦。,0,1,3,性别
性别,12987,为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？,因为古代没有理想的亲子鉴定工具。,1,2,2,歧视男性
性别,8589,有什么辨别les的方法吗？,如果一个女生她粉的是刘亦菲，郭碧婷，喻言，傅菁，火箭少女，粉墨，妈妈木，刘令姿，曾可妮以及塞纳河的小偶像。,0,0,0,女同性恋
性别,10263,如何看待高学历女性成为全职家庭主妇？,人生从此无趣。 如果让我说，这世上最重要的关系是夫妻关系&gt;亲子关系&gt;父母关系。,1,2,3,家庭主妇
性别,11268,大学女生成绩普遍比男生好吗，为什么？,因为大学大家基本都住集体宿舍，集体宿舍是以男女划分的。,0,0,0,性别成绩
性别,8902,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,大家想了很多办法，但是看看我们的邻居日本和俄罗斯，生育优待政策不可谓不高，但是人口出生率继续下降，欧洲人口继续阿拉伯化。,1,0,0,女性职业
性别,9469,怕因生孩子而耽误事业的女性，她们的事业有多好？,对一个人来说，如果事业和感情只能选其一，那一定是，事业比感情重要。,1,1,2,女性职业
性别,9812,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,想先问问楼主，你把你那位老师的观点推及Phd甚至是整个高学历的群里有什么依据？,0,0,0,家庭主妇
性别,10843,如何看待微博上愈演愈烈的性别对立矛盾？,有一种阴谋论，挑起性别对立，激发更多女拳斗士独立的想法，让这一群体比男性更有工作欲望，更有消费欲望。,0,2,3,性别对立
性别,7214,为什么被称“贤惠”会很气愤？,女生被夸贤惠，约等于男生被夸老实。,0,1,2,反感贤惠
性别,10069,如何看待高学历女性成为全职家庭主妇？,知乎的zz正确真是够了。,0,0,0,家庭主妇
性别,9091,你希望自己女朋友的工作职业是什么？,护士老师空姐，绝对不是白说的。,0,0,0,女性职业
性别,11905,国内顶尖高校的女毕业生，在就业过程中受到过性别歧视吗？,按理想情况说，招聘时候男女平等的企业因为选择空间大，可供招收的人才基数大。,1,0,0,性别歧视
性别,12921,为什么现代中国男性受歧视的现象总被忽视？,因为处在弱势方的男性，一般不被当人处理，大家觉得你被歧视是活该，谁让你不够强。,0,2,3,歧视男性
性别,10743,如何看待微博上愈演愈烈的性别对立矛盾？,一方面，女性在现实生活中受到的歧视和压迫，让她们必须在互联网上发泄。,1,2,2,性别对立
性别,13581,你在什么时候感觉到了社会对男性的歧视？,被中年女同事坑，但是没人在乎被坑的时候。,0,0,0,歧视男性
性别,10330,婚姻给了你什么样的勇气去当家庭主妇？,除了金钱，没有什么能给我勇气做任何事情。,1,2,3,家庭主妇
性别,14228,如何判断男生是不是gay?,gay跟男生在一起会很客气，比较温和，容易端着。,0,1,2,男同性恋
性别,9243,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,老阿姨的回复：年轻可以多学学，没坏处。,1,0,0,女性职业
性别,11516,大学女生成绩普遍比男生好吗，为什么？,确定吗？ 我和朋友们的大学基本上都是男性普遍优于女性。,1,2,3,性别成绩
性别,8427,如何看待女同性恋中的T?,要搞清楚她是跨性别者还是真正的女同性恋者，性别心理认同是男生还是女生。,0,1,2,女同性恋
性别,12942,为什么现代中国男性受歧视的现象总被忽视？,不是怕女性晚上下班自己一个人回家不安全所以才去接的嘛。,1,0,0,歧视男性
性别,10795,如何看待微博上愈演愈烈的性别对立矛盾？,“而且使我疑惑的是，这个现象是最近才出现的，为什么微博运营及有关部门对此视而不见”铁拳不能瞎挥啊。,0,0,0,性别对立
性别,12340,作为一名性少数者，你有想哭的时候吗？,本人双性恋，之前和女朋友有过一次关于性向的深入讨论。,0,0,0,性少数群体
性别,12283,作为一名性少数者，你有想哭的时候吗？,我竟然厚着脸皮来回答（＊／ω＼＊）［脸红掩面］。,0,0,0,性少数群体
性别,8846,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,没有办法应对。 现在的办法应对就是取消产假，或者是孕妇休产假可不支付工资，不带薪续留职。,1,2,3,女性职业
性别,13157,为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？,我觉得正相反，男性的贞操大于女性。,0,2,2,歧视男性
性别,14219,同性恋真的让人觉得很恶心吗？,喜欢是一种感觉吧，喜欢小狗也是喜欢，喜欢石头也是喜欢，喜欢家人，喜欢女生，喜欢男生，不都是看到很高兴，愿意待在一起吗。,0,1,2,男同性恋
性别,7191,为什么被称“贤惠”会很气愤？,我一直以为贤惠是好词汇，怎么到知乎觉得像侮辱人一样，算我见识浅薄，而且现在贤惠的女人恐怕越来越少了吧。,0,2,3,反感贤惠
性别,11998,有什么针对女性性别歧视的解决方法?,个人感受：如果只想自己过得轻松，少受男权社会的干扰：往上爬，尽量往上爬，在自己的能力范围之内爬去那些对女性更友好的地段。,1,2,3,性别歧视
性别,7389,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,唔，和认识的妹子交流了一下，看来这的确是一个很正常的会让妹子敏感的点。,1,0,0,反感贤惠
性别,13691,女拳真的是歧视男性吗?,不，他们只是歧视没钱的男性。,1,2,2,歧视男性
性别,14024,为什么男同性恋者会比较容易出现滥交的情况?,”换成“男性”一样成立，对于男性来说，抛去道德等的束缚，男性对于性的多样性有更多的需求。,1,1,3,男同性恋
性别,6209,为何日本宅腐文化如此发达，但是整个社会对LGBT群体接受度不高呢？,看客的心绪和当事人的心绪是全然不同的。,1,2,2,LGBT
性别,6214,为何日本宅腐文化如此发达，但是整个社会对LGBT群体接受度不高呢？,不请自来，我建议看一下纪录片gaycation里面有专门对日本同性恋的采访。,0,0,0,LGBT
性别,10019,如何看待高学历女性成为全职家庭主妇？,最近有点火的是富察皇后和乾隆的佳话。,0,0,0,家庭主妇
性别,6962,为什么有些女生会反感「贤惠」这个词？,作为一个女生，我来告诉你为什么我反感贤惠这个词。,0,0,0,反感贤惠
性别,13417,作为男性，你在什么时候感受到过性别歧视？,某网吧推出的活动:女性会员购买饮料上网免费。,1,2,3,歧视男性
性别,10082,如何看待高学历女性成为全职家庭主妇？,如何看待高学历男性成为赚钱机器？,1,2,2,家庭主妇
性别,9528,怕因生孩子而耽误事业的女性，她们的事业有多好？,又是这种黑女权的题目。,0,2,3,女性职业
性别,12861,为什么现代中国男性受歧视的现象总被忽视？,不知道该怎么说了，我只说两点我不明白的，希望有人能帮忙解答。,0,0,0,歧视男性
性别,7960,女同性恋如何做到 30 岁以后的生活不可悲？,提出这个问题的人注定可悲。,0,0,0,同性恋
性别,12624,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,此题就是我最近的体验啊哈哈哈哈！,0,0,0,性少数群体
性别,13727,如何看待某些女性毫不遮掩的歧视男性？,我认为女性毫不遮掩的歧视男性的行为并不普遍(可以说我没有看到过)，很多女性只是在求得与男性平等的地位——平权。,0,2,3,歧视男性
性别,9621,本人女，想转行去学UI设计，请问就业前景怎么样？,UI设计还是否具有发展前景谈UI设计未来发展得先了解互联网历史，纵观互联网的飞速发展的十多年，大致经历三个时期。,0,0,0,女性职业
性别,6242,反对LGBT是我们的自由吗？,无法繁衍，理应顺应规律，自然灭绝。,1,1,2,LGBT
性别,7322,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,G点应该在阴道中，不是长在耳道中和眼睛中。,0,0,0,反感贤惠
性别,9433,怕因生孩子而耽误事业的女性，她们的事业有多好？,那么提问者的思是，事业没多好的，耽误你又怎么了？,1,2,2,女性职业
性别,11199,现在的性别对立什么时候可以结束？,现在这么凶猛的性别对立它们根本的原因是什么？,0,2,2,性别对立
性别,6216,为何日本宅腐文化如此发达，但是整个社会对LGBT群体接受度不高呢？,新闻联播天天放，也没见谁用社会主义核心价值观要求自己的,1,0,0,LGBT
性别,11289,大学女生成绩普遍比男生好吗，为什么？,文科类大学和理科为主的大学不能说明主要问题，只能阐述侧面，某一方面存在的问题。,1,2,2,性别成绩
性别,7651,中国同性恋者的出路在哪里？,赶紧正常，赶紧同性恋婚姻合法化，要不然搞得跟看禁片解说一样。,0,1,3,同性恋
性别,10200,如何看待高学历女性成为全职家庭主妇？,这在美国、北欧等发达国家比较正常，特别是北欧这种左翼发达地区。,1,2,2,家庭主妇
性别,7632,中国同性恋者的出路在哪里？,几点实用的建议：总的来说，有两条主要策略。,0,0,0,同性恋
性别,13773,既然女权是平权，为什么她们从不正视男性受到的压迫？,因为她们都不知道平权的家庭长什么样，又怎能指望她们去正视男性受到的压迫？,0,2,2,歧视男性
性别,10781,如何看待微博上愈演愈烈的性别对立矛盾？,有钱拿，就合理，毕竟是个业务。,1,0,0,性别对立
性别,8079,有同性恋可以说说自己的故事吗？,我与他的缘分真的很巧妙，我们在同一个小学、初中、高中，甚至我认为我们的相遇与离别可以用戏剧化来形容。,0,0,0,同性恋
性别,12501,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,大二弯的，以前屌丝毫不夸张不讲究，后来学会护肤，搭配衣服，穿鞋品味，我瘦啊，所以开始健身塑造身形，然后努力学外语。,0,1,2,性少数群体
性别,11796,中国的性别歧视现象严重吗？,讲个故事吧，是假的，也是真的。,0,0,0,性别歧视
性别,10507,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,问了一下我老公，他表示我能在家全职让他感到很幸福很放松，比他几个家里双职工的同事过得舒服。,0,1,2,家庭主妇
性别,8320,女同性恋如何做到 30 岁以后的生活不可悲？,哈哈哈，难道30岁以后的已婚女就很幸福？,0,0,0,女同性恋
性别,7037,为什么被称“贤惠”会很气愤？,就事论事，说说身边结了婚的四种女人以及他们的丈夫怎么夸她们。,0,0,0,反感贤惠
性别,13533,你在什么时候感觉到了社会对男性的歧视？,底层男性仅仅是一个雄性，一个在生育后可弃置的雄性。,1,2,2,歧视男性
性别,8240,女同性恋如何做到 30 岁以后的生活不可悲？,不用到30，我二十不到都觉得可悲了。,0,1,3,女同性恋
性别,14070,为什么男性同性恋更易感染艾滋病？,1. 男性菊花内部细胞构造与阴道不同，病毒更易侵入。,0,0,0,男同性恋
性别,12875,为什么现代中国男性受歧视的现象总被忽视？,教师招聘，相同岗位男6女6，女的报名3000多人，男的40多个人。,1,2,2,歧视男性
性别,10302,婚姻给了你什么样的勇气去当家庭主妇？,我是强迫自己必须当好家庭主妇的。,0,1,2,家庭主妇
性别,12232,作为一名性少数者，你有想哭的时候吗？,和他约炮后，对，就是约炮后！,0,0,0,性少数群体
性别,7843,女同性恋如何做到 30 岁以后的生活不可悲？,年轻的时候多挣点钱，或者直接考公进国企央企这样稳定工作，首先保持有稳定收入来源。,1,0,0,同性恋
性别,6282,如何评价浙江大学官方微博发声支持LGBT群体？,眼见他伸赞扬，眼见他得众贺，眼见他博删了。,1,0,0,LGBT
性别,10519,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,我上大学之前，我妈一直都是家庭主妇，我并不是很赞同高赞里说男人都瞧不起家庭主妇，除非是娘家有钱的。,0,1,2,家庭主妇
性别,11769,中国的性别歧视现象严重吗？,严重。 大学在厕所正尿着呢，突然进来个大妈如入无人之境开始打扫卫生，丝毫不在乎站着一排尴尬的男生。,0,2,2,性别歧视
性别,6224,人们对LGBT不同人群的接受程度是不是G（男同）＞L（女同）＞B（双性恋）＞T（跨性别）？,怀疑是B＞L＞G＞＞＞＞T。,0,2,3,LGBT
性别,10576,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,本人女，有工作，薪水不低，外企管理层，比我老公高。,0,0,0,家庭主妇
性别,14076,为什么男性同性恋更易感染艾滋病？,因为… 女性阴道上皮是复层鳞状上皮。,1,0,0,男同性恋
性别,7466,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,这个女生明显情商不太高了。,0,2,3,反感贤惠
性别,9261,做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？,背景介绍：纽约金融咨询工作两年后2013年我进入了互联网领域，开始从事a0lytics这个岗位。,0,0,0,女性职业
性别,7343,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,这么说吧，中国当代社会中，有能力并且有意愿承担家庭中主要甚至全部经济负担的女性，比较乐观的说，不太可能超出5%。,1,2,2,反感贤惠
性别,11500,大学女生成绩普遍比男生好吗，为什么？,我读大学那会，刚大一开学，班长就直接规定上课前两排只能女生坐。,1,0,0,性别成绩
性别,10948,如何看待微博上愈演愈烈的性别对立矛盾？,目前的极端女权，一部分人是由于个人经历或者生活压力把搞女拳当成了排解，还有一部分人是唯恐天下不乱。,0,2,3,性别对立
性别,6203,为何日本宅腐文化如此发达，但是整个社会对LGBT群体接受度不高呢？,因为日本这种国家文明已经很成熟，社会上对于公共场合、私人场合、同好场合，有非常稳定和约定俗成的划分，大家互不干涉。,1,0,0,LGBT
性别,14267,如何判断男生是不是gay?,我烂了。 阴天里，正如隐藏在城市里一棵长久浸泡的庄稼，布满麻点。,0,0,0,男同性恋
性别,13453,作为男性，你在什么时候感受到过性别歧视？,大家都说租房子只限女生。,0,2,3,歧视男性
性别,12530,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,我想变帅，可惜不太现实，我想变得年轻一点这样就可以有更多的选择，不用总被小孩子叫大叔，然而这些都不现实。,1,1,3,性少数群体
性别,13041,为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？,因为女人是商品，而男人是消费者。,1,2,3,歧视男性
性别,9473,怕因生孩子而耽误事业的女性，她们的事业有多好？,这种问题也有人能问得出来，是不是太平日子过得太久了，脑子坏掉了？,0,0,0,女性职业
性别,12473,当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？,想想自己，而立之年，没有想过是为了谁做什么改变。,0,0,0,性少数群体
性别,7760,女同性恋如何做到 30 岁以后的生活不可悲？,勇敢一点，自私一点，更需要强大一点，有钱一点，这话虽俗，却也实用。,1,0,0,同性恋
性别,7354,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,我算得上温柔贤惠的暖妹子吧，喜欢温柔顾家的暖汉子。,0,0,0,反感贤惠
性别,9910,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,PHD对家庭主妇不屑只能说是因为学傻了。,0,2,3,家庭主妇
性别,7761,女同性恋如何做到 30 岁以后的生活不可悲？,本人今年还有几天就34岁了，三年前和相处了十几年的女友分手了，她选择了结婚生子。,0,0,0,同性恋
性别,6799,为什么有些女生会反感「贤惠」这个词？,在什么情况下，才会夸一个女孩子“贤惠”呢？,0,0,0,反感贤惠
性别,8584,有什么辨别les的方法吗？,啊啊. .这个吗，拿我自己来说吧。,0,0,0,女同性恋
性别,8523,如何看待女同性恋中的T?,我觉得分tp还不如分攻受。,0,2,2,女同性恋
性别,8281,女同性恋如何做到 30 岁以后的生活不可悲？,做好孤独终老的打算，世人没有理由都对我好，不是吗？,1,0,0,女同性恋
性别,12343,作为一名性少数者，你有想哭的时候吗？,觉得很孤独很难过，但是又没有一个人可以说话的时候。,1,0,0,性少数群体
性别,6969,为什么有些女生会反感「贤惠」这个词？,这正好是女性精致利己天性的真情流露，反感一切自己为他人付出的行为，但却想要别人为她付出。,0,2,3,反感贤惠
性别,7986,女同性恋如何做到 30 岁以后的生活不可悲？,写写我的感受吧，希望过几年后再看，会有不同的感受。,0,0,0,同性恋
性别,8876,三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？,应对就是不生咯。 第一，实际案例我给大家算一下，怀孕10个月，我算自然分娩，产假3个月，那就是一年多点。,0,0,0,女性职业
性别,13944,既然女权是平权，为什么她们从不正视男性受到的压迫？,因为压迫女性的是男性，压迫男性的是另一部分男性。,1,2,2,歧视男性
性别,11347,大学女生成绩普遍比男生好吗，为什么？,这问题的水平也太次了吧。,0,0,0,性别成绩
